"Taxa","Country","Latrine_Number","Depth","OTUs"
"Spirochaetes","T","2","10",0
"Subdivision3","T","2","10",0
"Synergistia","T","2","10",4
"Thermomicrobia","T","2","10",0
"Thermoplasmata","T","2","10",0
"Thermotogae","T","2","10",0
"Unknown","T","2","10",24
"Acidobacteria_Gp1","T","2","12",0
"Acidobacteria_Gp10","T","2","12",0
"Acidobacteria_Gp14","T","2","12",0
"Acidobacteria_Gp16","T","2","12",0
"Acidobacteria_Gp17","T","2","12",0
"Acidobacteria_Gp18","T","2","12",0
"Acidobacteria_Gp21","T","2","12",0
"Acidobacteria_Gp22","T","2","12",0
"Acidobacteria_Gp3","T","2","12",0
"Acidobacteria_Gp4","T","2","12",0
"Acidobacteria_Gp5","T","2","12",0
"Acidobacteria_Gp6","T","2","12",0
"Acidobacteria_Gp7","T","2","12",0
"Acidobacteria_Gp9","T","2","12",0
"Actinobacteria","T","2","12",5
"Alphaproteobacteria","T","2","12",2
"Anaerolineae","T","2","12",0
"Bacilli","T","2","12",36
"Bacteroidia","T","2","12",0
"Betaproteobacteria","T","2","12",2545
"Caldilineae","T","2","12",0
"Chlamydiae","T","2","12",0
"Chloroflexi","T","2","12",0
"Chrysiogenetes","T","2","12",0
"Clostridia","T","2","12",0
"Cyanobacteria","T","2","12",0
"Dehalococcoidetes","T","2","12",0
"Deinococci","T","2","12",0
"Deltaproteobacteria","T","2","12",0
"Epsilonproteobacteria","T","2","12",0
"Erysipelotrichi","T","2","12",0
"Fibrobacteria","T","2","12",0
"Flavobacteria","T","2","12",0
"Fusobacteria","T","2","12",0
"Gammaproteobacteria","T","2","12",27
"Gemmatimonadetes","T","2","12",0
"Holophagae","T","2","12",0
"Lentisphaeria","T","2","12",0
"Methanobacteria","T","2","12",0
"Methanomicrobia","T","2","12",0
"Mollicutes","T","2","12",0
"Nitrospira","T","2","12",0
"Opitutae","T","2","12",0
"Planctomycetacia","T","2","12",0
"Sphingobacteria","T","2","12",0
"Spirochaetes","T","2","12",0
"Subdivision3","T","2","12",0
"Synergistia","T","2","12",0
"Thermomicrobia","T","2","12",0
"Thermoplasmata","T","2","12",0
"Thermotogae","T","2","12",0
"Unknown","T","2","12",6
"Acidobacteria_Gp1","T","2","2",0
"Acidobacteria_Gp10","T","2","2",0
"Acidobacteria_Gp14","T","2","2",0
"Acidobacteria_Gp16","T","2","2",0
"Acidobacteria_Gp17","T","2","2",0
"Acidobacteria_Gp18","T","2","2",2
"Acidobacteria_Gp21","T","2","2",0
"Acidobacteria_Gp22","T","2","2",0
"Acidobacteria_Gp3","T","2","2",0
"Acidobacteria_Gp4","T","2","2",0
"Acidobacteria_Gp5","T","2","2",0
"Acidobacteria_Gp6","T","2","2",0
"Acidobacteria_Gp7","T","2","2",0
"Acidobacteria_Gp9","T","2","2",0
"Actinobacteria","T","2","2",240
"Alphaproteobacteria","T","2","2",21
"Anaerolineae","T","2","2",15
"Bacilli","T","2","2",32
"Bacteroidia","T","2","2",718
"Betaproteobacteria","T","2","2",7
"Caldilineae","T","2","2",0
"Chlamydiae","T","2","2",0
"Chloroflexi","T","2","2",0
"Chrysiogenetes","T","2","2",0
"Clostridia","T","2","2",8999
"Cyanobacteria","T","2","2",0
"Dehalococcoidetes","T","2","2",0
"Deinococci","T","2","2",0
"Deltaproteobacteria","T","2","2",6
"Epsilonproteobacteria","T","2","2",0
"Erysipelotrichi","T","2","2",495
"Fibrobacteria","T","2","2",2
"Flavobacteria","T","2","2",15
"Fusobacteria","T","2","2",0
"Gammaproteobacteria","T","2","2",17
"Gemmatimonadetes","T","2","2",0
"Holophagae","T","2","2",0
"Lentisphaeria","T","2","2",0
"Methanobacteria","T","2","2",1
"Methanomicrobia","T","2","2",0
"Mollicutes","T","2","2",11
"Nitrospira","T","2","2",0
"Opitutae","T","2","2",0
"Planctomycetacia","T","2","2",0
"Sphingobacteria","T","2","2",4
"Spirochaetes","T","2","2",72
"Subdivision3","T","2","2",0
"Synergistia","T","2","2",84
"Thermomicrobia","T","2","2",3
"Thermoplasmata","T","2","2",0
"Thermotogae","T","2","2",0
"Unknown","T","2","2",1342
"Acidobacteria_Gp1","T","2","3",0
"Acidobacteria_Gp10","T","2","3",0
"Acidobacteria_Gp14","T","2","3",0
"Acidobacteria_Gp16","T","2","3",0
"Acidobacteria_Gp17","T","2","3",0
"Acidobacteria_Gp18","T","2","3",2
"Acidobacteria_Gp21","T","2","3",0
"Acidobacteria_Gp22","T","2","3",0
"Acidobacteria_Gp3","T","2","3",0
"Acidobacteria_Gp4","T","2","3",0
"Acidobacteria_Gp5","T","2","3",0
"Acidobacteria_Gp6","T","2","3",0
"Acidobacteria_Gp7","T","2","3",0
"Acidobacteria_Gp9","T","2","3",0
"Actinobacteria","T","2","3",414
"Alphaproteobacteria","T","2","3",11
"Anaerolineae","T","2","3",31
"Bacilli","T","2","3",33
"Bacteroidia","T","2","3",679
"Betaproteobacteria","T","2","3",61
"Caldilineae","T","2","3",0
"Chlamydiae","T","2","3",0
"Chloroflexi","T","2","3",0
"Chrysiogenetes","T","2","3",0
"Clostridia","T","2","3",10944
"Cyanobacteria","T","2","3",0
"Dehalococcoidetes","T","2","3",0
"Deinococci","T","2","3",0
"Deltaproteobacteria","T","2","3",3
"Epsilonproteobacteria","T","2","3",0
"Erysipelotrichi","T","2","3",643
"Fibrobacteria","T","2","3",4
"Flavobacteria","T","2","3",7
"Fusobacteria","T","2","3",0
"Gammaproteobacteria","T","2","3",25
"Gemmatimonadetes","T","2","3",0
"Holophagae","T","2","3",0
"Lentisphaeria","T","2","3",0
"Methanobacteria","T","2","3",0
"Methanomicrobia","T","2","3",0
"Mollicutes","T","2","3",1
"Nitrospira","T","2","3",0
"Opitutae","T","2","3",0
"Planctomycetacia","T","2","3",0
"Sphingobacteria","T","2","3",4
"Spirochaetes","T","2","3",266
"Subdivision3","T","2","3",0
"Synergistia","T","2","3",110
"Thermomicrobia","T","2","3",3
"Thermoplasmata","T","2","3",0
"Thermotogae","T","2","3",0
"Unknown","T","2","3",1555
"Acidobacteria_Gp1","T","2","6",0
"Acidobacteria_Gp10","T","2","6",0
"Acidobacteria_Gp14","T","2","6",0
"Acidobacteria_Gp16","T","2","6",0
"Acidobacteria_Gp17","T","2","6",0
"Acidobacteria_Gp18","T","2","6",5
"Acidobacteria_Gp21","T","2","6",0
"Acidobacteria_Gp22","T","2","6",0
"Acidobacteria_Gp3","T","2","6",0
"Acidobacteria_Gp4","T","2","6",1
"Acidobacteria_Gp5","T","2","6",0
"Acidobacteria_Gp6","T","2","6",1
"Acidobacteria_Gp7","T","2","6",0
"Acidobacteria_Gp9","T","2","6",0
"Actinobacteria","T","2","6",227
"Alphaproteobacteria","T","2","6",49
"Anaerolineae","T","2","6",159
"Bacilli","T","2","6",11
"Bacteroidia","T","2","6",143
"Betaproteobacteria","T","2","6",4
"Caldilineae","T","2","6",1
"Chlamydiae","T","2","6",0
"Chloroflexi","T","2","6",0
"Chrysiogenetes","T","2","6",0
"Clostridia","T","2","6",12169
"Cyanobacteria","T","2","6",0
"Dehalococcoidetes","T","2","6",2
"Deinococci","T","2","6",3
"Deltaproteobacteria","T","2","6",59
"Epsilonproteobacteria","T","2","6",0
"Erysipelotrichi","T","2","6",629
"Fibrobacteria","T","2","6",0
"Flavobacteria","T","2","6",3
"Fusobacteria","T","2","6",1
"Gammaproteobacteria","T","2","6",4
"Gemmatimonadetes","T","2","6",0
"Holophagae","T","2","6",0
"Lentisphaeria","T","2","6",1
"Methanobacteria","T","2","6",0
"Methanomicrobia","T","2","6",0
"Mollicutes","T","2","6",3
"Nitrospira","T","2","6",0
"Opitutae","T","2","6",0
"Planctomycetacia","T","2","6",2
"Sphingobacteria","T","2","6",1
"Spirochaetes","T","2","6",43
"Subdivision3","T","2","6",0
"Synergistia","T","2","6",333
"Thermomicrobia","T","2","6",3
"Thermoplasmata","T","2","6",0
"Thermotogae","T","2","6",1
"Unknown","T","2","6",1832
"Acidobacteria_Gp1","T","2","7",0
"Acidobacteria_Gp10","T","2","7",0
"Acidobacteria_Gp14","T","2","7",0
"Acidobacteria_Gp16","T","2","7",0
"Acidobacteria_Gp17","T","2","7",0
"Acidobacteria_Gp18","T","2","7",0
"Acidobacteria_Gp21","T","2","7",0
"Acidobacteria_Gp22","T","2","7",0
"Acidobacteria_Gp3","T","2","7",0
"Acidobacteria_Gp4","T","2","7",0
"Acidobacteria_Gp5","T","2","7",0
"Acidobacteria_Gp6","T","2","7",0
"Acidobacteria_Gp7","T","2","7",0
"Acidobacteria_Gp9","T","2","7",0
"Actinobacteria","T","2","7",1
"Alphaproteobacteria","T","2","7",0
"Anaerolineae","T","2","7",0
"Bacilli","T","2","7",17
"Bacteroidia","T","2","7",1
"Betaproteobacteria","T","2","7",1
"Caldilineae","T","2","7",0
"Chlamydiae","T","2","7",0
"Chloroflexi","T","2","7",0
"Chrysiogenetes","T","2","7",0
"Clostridia","T","2","7",28
"Cyanobacteria","T","2","7",0
"Dehalococcoidetes","T","2","7",0
"Deinococci","T","2","7",0
"Deltaproteobacteria","T","2","7",0
"Epsilonproteobacteria","T","2","7",0
"Erysipelotrichi","T","2","7",0
"Fibrobacteria","T","2","7",0
"Flavobacteria","T","2","7",0
"Fusobacteria","T","2","7",0
"Gammaproteobacteria","T","2","7",0
"Gemmatimonadetes","T","2","7",0
"Holophagae","T","2","7",0
"Lentisphaeria","T","2","7",0
"Methanobacteria","T","2","7",0
"Methanomicrobia","T","2","7",0
"Mollicutes","T","2","7",0
"Nitrospira","T","2","7",0
"Opitutae","T","2","7",0
"Planctomycetacia","T","2","7",0
"Sphingobacteria","T","2","7",0
"Spirochaetes","T","2","7",1
"Subdivision3","T","2","7",0
"Synergistia","T","2","7",0
"Thermomicrobia","T","2","7",0
"Thermoplasmata","T","2","7",0
"Thermotogae","T","2","7",0
"Unknown","T","2","7",7
"Acidobacteria_Gp1","T","2","9",0
"Acidobacteria_Gp10","T","2","9",0
"Acidobacteria_Gp14","T","2","9",0
"Acidobacteria_Gp16","T","2","9",0
"Acidobacteria_Gp17","T","2","9",0
"Acidobacteria_Gp18","T","2","9",15
"Acidobacteria_Gp21","T","2","9",0
"Acidobacteria_Gp22","T","2","9",0
"Acidobacteria_Gp3","T","2","9",0
"Acidobacteria_Gp4","T","2","9",0
"Acidobacteria_Gp5","T","2","9",0
"Acidobacteria_Gp6","T","2","9",0
"Acidobacteria_Gp7","T","2","9",0
"Acidobacteria_Gp9","T","2","9",0
"Actinobacteria","T","2","9",811
"Alphaproteobacteria","T","2","9",71
"Anaerolineae","T","2","9",376
"Bacilli","T","2","9",41
"Bacteroidia","T","2","9",924
"Betaproteobacteria","T","2","9",5
"Caldilineae","T","2","9",7
"Chlamydiae","T","2","9",0
"Chloroflexi","T","2","9",0
"Chrysiogenetes","T","2","9",0
"Clostridia","T","2","9",17471
"Cyanobacteria","T","2","9",0
"Dehalococcoidetes","T","2","9",0
"Deinococci","T","2","9",2
"Deltaproteobacteria","T","2","9",158
"Epsilonproteobacteria","T","2","9",0
"Erysipelotrichi","T","2","9",933
"Fibrobacteria","T","2","9",3
"Flavobacteria","T","2","9",6
"Fusobacteria","T","2","9",2
"Gammaproteobacteria","T","2","9",37
"Gemmatimonadetes","T","2","9",1
"Holophagae","T","2","9",0
"Lentisphaeria","T","2","9",1
"Methanobacteria","T","2","9",0
"Methanomicrobia","T","2","9",0
"Mollicutes","T","2","9",4
"Nitrospira","T","2","9",0
"Opitutae","T","2","9",0
"Planctomycetacia","T","2","9",8
"Sphingobacteria","T","2","9",1
"Spirochaetes","T","2","9",175
"Subdivision3","T","2","9",0
"Synergistia","T","2","9",658
"Thermomicrobia","T","2","9",2
"Thermoplasmata","T","2","9",0
"Thermotogae","T","2","9",1
"Unknown","T","2","9",3240
"Acidobacteria_Gp1","T","3","2",0
"Acidobacteria_Gp10","T","3","2",0
"Acidobacteria_Gp14","T","3","2",0
"Acidobacteria_Gp16","T","3","2",0
"Acidobacteria_Gp17","T","3","2",0
"Acidobacteria_Gp18","T","3","2",2
"Acidobacteria_Gp21","T","3","2",0
"Acidobacteria_Gp22","T","3","2",0
"Acidobacteria_Gp3","T","3","2",0
"Acidobacteria_Gp4","T","3","2",0
"Acidobacteria_Gp5","T","3","2",0
"Acidobacteria_Gp6","T","3","2",0
"Acidobacteria_Gp7","T","3","2",0
"Acidobacteria_Gp9","T","3","2",0
"Actinobacteria","T","3","2",89
"Alphaproteobacteria","T","3","2",13
"Anaerolineae","T","3","2",8
"Bacilli","T","3","2",23
"Bacteroidia","T","3","2",314
"Betaproteobacteria","T","3","2",4
"Caldilineae","T","3","2",0
"Chlamydiae","T","3","2",0
"Chloroflexi","T","3","2",0
"Chrysiogenetes","T","3","2",0
"Clostridia","T","3","2",3431
"Cyanobacteria","T","3","2",0
"Dehalococcoidetes","T","3","2",1
"Deinococci","T","3","2",1
"Deltaproteobacteria","T","3","2",17
"Epsilonproteobacteria","T","3","2",0
"Erysipelotrichi","T","3","2",193
"Fibrobacteria","T","3","2",1
"Flavobacteria","T","3","2",1
"Fusobacteria","T","3","2",0
"Gammaproteobacteria","T","3","2",20
"Gemmatimonadetes","T","3","2",0
"Holophagae","T","3","2",0
"Lentisphaeria","T","3","2",0
"Methanobacteria","T","3","2",0
"Methanomicrobia","T","3","2",0
"Mollicutes","T","3","2",1
"Nitrospira","T","3","2",0
"Opitutae","T","3","2",0
"Planctomycetacia","T","3","2",0
"Sphingobacteria","T","3","2",1
"Spirochaetes","T","3","2",19
"Subdivision3","T","3","2",0
"Synergistia","T","3","2",125
"Thermomicrobia","T","3","2",1
"Thermoplasmata","T","3","2",0
"Thermotogae","T","3","2",0
"Unknown","T","3","2",676
"Acidobacteria_Gp1","T","3","3",0
"Acidobacteria_Gp10","T","3","3",0
"Acidobacteria_Gp14","T","3","3",0
"Acidobacteria_Gp16","T","3","3",0
"Acidobacteria_Gp17","T","3","3",0
"Acidobacteria_Gp18","T","3","3",1
"Acidobacteria_Gp21","T","3","3",0
"Acidobacteria_Gp22","T","3","3",0
"Acidobacteria_Gp3","T","3","3",0
"Acidobacteria_Gp4","T","3","3",0
"Acidobacteria_Gp5","T","3","3",0
"Acidobacteria_Gp6","T","3","3",0
"Acidobacteria_Gp7","T","3","3",0
"Acidobacteria_Gp9","T","3","3",0
"Actinobacteria","T","3","3",36
"Alphaproteobacteria","T","3","3",11
"Anaerolineae","T","3","3",5
"Bacilli","T","3","3",11
"Bacteroidia","T","3","3",138
"Betaproteobacteria","T","3","3",1
"Caldilineae","T","3","3",0
"Chlamydiae","T","3","3",0
"Chloroflexi","T","3","3",0
"Chrysiogenetes","T","3","3",0
"Clostridia","T","3","3",1277
"Cyanobacteria","T","3","3",0
"Dehalococcoidetes","T","3","3",0
"Deinococci","T","3","3",0
"Deltaproteobacteria","T","3","3",6
"Epsilonproteobacteria","T","3","3",0
"Erysipelotrichi","T","3","3",66
"Fibrobacteria","T","3","3",1
"Flavobacteria","T","3","3",0
"Fusobacteria","T","3","3",0
"Gammaproteobacteria","T","3","3",5
"Gemmatimonadetes","T","3","3",0
"Holophagae","T","3","3",0
"Lentisphaeria","T","3","3",0
"Methanobacteria","T","3","3",0
"Methanomicrobia","T","3","3",0
"Mollicutes","T","3","3",0
"Nitrospira","T","3","3",0
"Opitutae","T","3","3",0
"Planctomycetacia","T","3","3",0
"Sphingobacteria","T","3","3",0
"Spirochaetes","T","3","3",7
"Subdivision3","T","3","3",0
"Synergistia","T","3","3",70
"Thermomicrobia","T","3","3",0
"Thermoplasmata","T","3","3",0
"Thermotogae","T","3","3",0
"Unknown","T","3","3",306
"Acidobacteria_Gp1","T","3","5",0
"Acidobacteria_Gp10","T","3","5",0
"Acidobacteria_Gp14","T","3","5",0
"Acidobacteria_Gp16","T","3","5",0
"Acidobacteria_Gp17","T","3","5",0
"Acidobacteria_Gp18","T","3","5",0
"Acidobacteria_Gp21","T","3","5",0
"Acidobacteria_Gp22","T","3","5",0
"Acidobacteria_Gp3","T","3","5",0
"Acidobacteria_Gp4","T","3","5",0
"Acidobacteria_Gp5","T","3","5",0
"Acidobacteria_Gp6","T","3","5",0
"Acidobacteria_Gp7","T","3","5",0
"Acidobacteria_Gp9","T","3","5",0
"Actinobacteria","T","3","5",7
"Alphaproteobacteria","T","3","5",0
"Anaerolineae","T","3","5",2
"Bacilli","T","3","5",43
"Bacteroidia","T","3","5",22
"Betaproteobacteria","T","3","5",0
"Caldilineae","T","3","5",0
"Chlamydiae","T","3","5",0
"Chloroflexi","T","3","5",0
"Chrysiogenetes","T","3","5",0
"Clostridia","T","3","5",277
"Cyanobacteria","T","3","5",0
"Dehalococcoidetes","T","3","5",0
"Deinococci","T","3","5",0
"Deltaproteobacteria","T","3","5",1
"Epsilonproteobacteria","T","3","5",0
"Erysipelotrichi","T","3","5",20
"Fibrobacteria","T","3","5",0
"Flavobacteria","T","3","5",0
"Fusobacteria","T","3","5",0
"Gammaproteobacteria","T","3","5",4
"Gemmatimonadetes","T","3","5",0
"Holophagae","T","3","5",0
"Lentisphaeria","T","3","5",0
"Methanobacteria","T","3","5",0
"Methanomicrobia","T","3","5",0
"Mollicutes","T","3","5",0
"Nitrospira","T","3","5",0
"Opitutae","T","3","5",0
"Planctomycetacia","T","3","5",0
"Sphingobacteria","T","3","5",0
"Spirochaetes","T","3","5",0
"Subdivision3","T","3","5",0
"Synergistia","T","3","5",13
"Thermomicrobia","T","3","5",0
"Thermoplasmata","T","3","5",0
"Thermotogae","T","3","5",0
"Unknown","T","3","5",69
"Acidobacteria_Gp1","T","4","3",0
"Acidobacteria_Gp10","T","4","3",0
"Acidobacteria_Gp14","T","4","3",0
"Acidobacteria_Gp16","T","4","3",0
"Acidobacteria_Gp17","T","4","3",0
"Acidobacteria_Gp18","T","4","3",0
"Acidobacteria_Gp21","T","4","3",0
"Acidobacteria_Gp22","T","4","3",0
"Acidobacteria_Gp3","T","4","3",0
"Acidobacteria_Gp4","T","4","3",0
"Acidobacteria_Gp5","T","4","3",0
"Acidobacteria_Gp6","T","4","3",0
"Acidobacteria_Gp7","T","4","3",0
"Acidobacteria_Gp9","T","4","3",0
"Actinobacteria","T","4","3",498
"Alphaproteobacteria","T","4","3",112
"Anaerolineae","T","4","3",0
"Bacilli","T","4","3",3
"Bacteroidia","T","4","3",1
"Betaproteobacteria","T","4","3",7710
"Caldilineae","T","4","3",0
"Chlamydiae","T","4","3",0
"Chloroflexi","T","4","3",0
"Chrysiogenetes","T","4","3",0
"Clostridia","T","4","3",7
"Cyanobacteria","T","4","3",0
"Dehalococcoidetes","T","4","3",0
"Deinococci","T","4","3",0
"Deltaproteobacteria","T","4","3",0
"Epsilonproteobacteria","T","4","3",0
"Erysipelotrichi","T","4","3",0
"Fibrobacteria","T","4","3",0
"Flavobacteria","T","4","3",3
"Fusobacteria","T","4","3",0
"Gammaproteobacteria","T","4","3",10
"Gemmatimonadetes","T","4","3",0
"Holophagae","T","4","3",0
"Lentisphaeria","T","4","3",0
"Methanobacteria","T","4","3",0
"Methanomicrobia","T","4","3",0
"Mollicutes","T","4","3",0
"Nitrospira","T","4","3",0
"Opitutae","T","4","3",0
"Planctomycetacia","T","4","3",0
"Sphingobacteria","T","4","3",0
"Spirochaetes","T","4","3",0
"Subdivision3","T","4","3",0
"Synergistia","T","4","3",0
"Thermomicrobia","T","4","3",0
"Thermoplasmata","T","4","3",0
"Thermotogae","T","4","3",0
"Unknown","T","4","3",3
"Acidobacteria_Gp1","T","4","4",0
"Acidobacteria_Gp10","T","4","4",0
"Acidobacteria_Gp14","T","4","4",0
"Acidobacteria_Gp16","T","4","4",0
"Acidobacteria_Gp17","T","4","4",0
"Acidobacteria_Gp18","T","4","4",1
"Acidobacteria_Gp21","T","4","4",0
"Acidobacteria_Gp22","T","4","4",0
"Acidobacteria_Gp3","T","4","4",0
"Acidobacteria_Gp4","T","4","4",0
"Acidobacteria_Gp5","T","4","4",0
"Acidobacteria_Gp6","T","4","4",0
"Acidobacteria_Gp7","T","4","4",0
"Acidobacteria_Gp9","T","4","4",0
"Actinobacteria","T","4","4",573
"Alphaproteobacteria","T","4","4",65
"Anaerolineae","T","4","4",38
"Bacilli","T","4","4",60
"Bacteroidia","T","4","4",116
"Betaproteobacteria","T","4","4",518
"Caldilineae","T","4","4",2
"Chlamydiae","T","4","4",0
"Chloroflexi","T","4","4",0
"Chrysiogenetes","T","4","4",0
"Clostridia","T","4","4",10545
"Cyanobacteria","T","4","4",2
"Dehalococcoidetes","T","4","4",0
"Deinococci","T","4","4",7
"Deltaproteobacteria","T","4","4",38
"Epsilonproteobacteria","T","4","4",0
"Erysipelotrichi","T","4","4",127
"Fibrobacteria","T","4","4",0
"Flavobacteria","T","4","4",15
"Fusobacteria","T","4","4",0
"Gammaproteobacteria","T","4","4",37
"Gemmatimonadetes","T","4","4",0
"Holophagae","T","4","4",1
"Lentisphaeria","T","4","4",0
"Methanobacteria","T","4","4",0
"Methanomicrobia","T","4","4",0
"Mollicutes","T","4","4",6
"Nitrospira","T","4","4",0
"Opitutae","T","4","4",1
"Planctomycetacia","T","4","4",2
"Sphingobacteria","T","4","4",1
"Spirochaetes","T","4","4",8
"Subdivision3","T","4","4",0
"Synergistia","T","4","4",404
"Thermomicrobia","T","4","4",16
"Thermoplasmata","T","4","4",0
"Thermotogae","T","4","4",0
"Unknown","T","4","4",826
"Acidobacteria_Gp1","T","4","5",1
"Acidobacteria_Gp10","T","4","5",0
"Acidobacteria_Gp14","T","4","5",1
"Acidobacteria_Gp16","T","4","5",0
"Acidobacteria_Gp17","T","4","5",0
"Acidobacteria_Gp18","T","4","5",0
"Acidobacteria_Gp21","T","4","5",0
"Acidobacteria_Gp22","T","4","5",0
"Acidobacteria_Gp3","T","4","5",32
"Acidobacteria_Gp4","T","4","5",0
"Acidobacteria_Gp5","T","4","5",0
"Acidobacteria_Gp6","T","4","5",0
"Acidobacteria_Gp7","T","4","5",0
"Acidobacteria_Gp9","T","4","5",0
"Actinobacteria","T","4","5",1345
"Alphaproteobacteria","T","4","5",138
"Anaerolineae","T","4","5",44
"Bacilli","T","4","5",109
"Bacteroidia","T","4","5",156
"Betaproteobacteria","T","4","5",485
"Caldilineae","T","4","5",5
"Chlamydiae","T","4","5",0
"Chloroflexi","T","4","5",1
"Chrysiogenetes","T","4","5",0
"Clostridia","T","4","5",3612
"Cyanobacteria","T","4","5",0
"Dehalococcoidetes","T","4","5",1
"Deinococci","T","4","5",28
"Deltaproteobacteria","T","4","5",83
"Epsilonproteobacteria","T","4","5",0
"Erysipelotrichi","T","4","5",65
"Fibrobacteria","T","4","5",0
"Flavobacteria","T","4","5",16
"Fusobacteria","T","4","5",0
"Gammaproteobacteria","T","4","5",68
"Gemmatimonadetes","T","4","5",1
"Holophagae","T","4","5",0
"Lentisphaeria","T","4","5",0
"Methanobacteria","T","4","5",0
"Methanomicrobia","T","4","5",0
"Mollicutes","T","4","5",8
"Nitrospira","T","4","5",0
"Opitutae","T","4","5",0
"Planctomycetacia","T","4","5",0
"Sphingobacteria","T","4","5",10
"Spirochaetes","T","4","5",7
"Subdivision3","T","4","5",0
"Synergistia","T","4","5",297
"Thermomicrobia","T","4","5",42
"Thermoplasmata","T","4","5",0
"Thermotogae","T","4","5",0
"Unknown","T","4","5",676
"Acidobacteria_Gp1","T","4","6",0
"Acidobacteria_Gp10","T","4","6",0
"Acidobacteria_Gp14","T","4","6",0
"Acidobacteria_Gp16","T","4","6",0
"Acidobacteria_Gp17","T","4","6",0
"Acidobacteria_Gp18","T","4","6",0
"Acidobacteria_Gp21","T","4","6",0
"Acidobacteria_Gp22","T","4","6",0
"Acidobacteria_Gp3","T","4","6",2
"Acidobacteria_Gp4","T","4","6",1
"Acidobacteria_Gp5","T","4","6",0
"Acidobacteria_Gp6","T","4","6",0
"Acidobacteria_Gp7","T","4","6",0
"Acidobacteria_Gp9","T","4","6",0
"Actinobacteria","T","4","6",444
"Alphaproteobacteria","T","4","6",42
"Anaerolineae","T","4","6",16
"Bacilli","T","4","6",55
