Film,Chapter,Character,Dwarf,Elf,Hobbit,Man,Orc,Wizard
The Return Of The King,46: The Ride Of The Rohirrim,Merry,NA,NA,2,NA,NA,NA
The Return Of The King,46: The Ride Of The Rohirrim,Theoden,NA,NA,NA,71,NA,NA
The Return Of The King,47: The Pyre Of Denethor,Denethor,NA,NA,NA,42,NA,NA
The Return Of The King,47: The Pyre Of Denethor,Gandalf,NA,NA,NA,NA,NA,9
The Return Of The King,47: The Pyre Of Denethor,Pippin,NA,NA,2,NA,NA,NA
The Return Of The King,48: The Battle Of The Pelennor Fields,Eomer,NA,NA,NA,9,NA,NA
The Return Of The King,48: The Battle Of The Pelennor Fields,Eowyn,NA,NA,NA,8,NA,NA
The Return Of The King,48: The Battle Of The Pelennor Fields,Rohan Warrior,NA,NA,NA,3,NA,NA
The Return Of The King,48: The Battle Of The Pelennor Fields,Theoden,NA,NA,NA,26,NA,NA
The Return Of The King,49: A Far Green Country,Gandalf,NA,NA,NA,NA,NA,54
The Return Of The King,49: A Far Green Country,Pippin,NA,NA,17,NA,NA,NA
The Return Of The King,50: The Nazgul And His Prey,Eowyn,NA,NA,NA,8,NA,NA
The Return Of The King,50: The Nazgul And His Prey,Theoden,NA,NA,NA,5,NA,NA
The Return Of The King,51: The Black Ships,Gimli,12,NA,NA,NA,NA,NA
The Return Of The King,51: The Black Ships,Orc,NA,NA,NA,NA,19,NA
The Return Of The King,52: Shieldmaiden Of Rohan,Eowyn,NA,NA,NA,4,NA,NA
The Return Of The King,53: Victory At Minar Tirith,Aragorn,NA,NA,NA,1,NA,NA
The Return Of The King,53: Victory At Minar Tirith,Eowyn,NA,NA,NA,1,NA,NA
The Return Of The King,53: Victory At Minar Tirith,Gimli,6,NA,NA,NA,NA,NA
The Return Of The King,53: Victory At Minar Tirith,Legolas,NA,6,NA,NA,NA,NA
The Return Of The King,53: Victory At Minar Tirith,Orc,NA,NA,NA,NA,5,NA
The Return Of The King,54: The Passing Of Theoden,Eowyn,NA,NA,NA,8,NA,NA
The Return Of The King,54: The Passing Of Theoden,Theoden,NA,NA,NA,38,NA,NA
The Return Of The King,55: Oaths Fulfilled,Aragorn,NA,NA,NA,9,NA,NA
The Return Of The King,55: Oaths Fulfilled,Gimli,15,NA,NA,NA,NA,NA
The Return Of The King,56: The Houses Of Healing,Eomer,NA,NA,NA,3,NA,NA
The Return Of The King,56: The Houses Of Healing,Pippin,NA,NA,1,NA,NA,NA
The Return Of The King,57: Pippin Looks After Merry,Merry,NA,NA,11,NA,NA,NA
The Return Of The King,57: Pippin Looks After Merry,Pippin,NA,NA,16,NA,NA,NA
The Return Of The King,58: The Tower Of Cirith Ungol,Frodo,NA,NA,64,NA,NA,NA
The Return Of The King,58: The Tower Of Cirith Ungol,Grobag,NA,NA,NA,NA,23,NA
The Return Of The King,58: The Tower Of Cirith Ungol,Sam,NA,NA,96,NA,NA,NA
The Return Of The King,58: The Tower Of Cirith Ungol,Shagrat,NA,NA,NA,NA,35,NA
The Return Of The King,59: The Last Debate,Aragorn,NA,NA,NA,82,NA,NA
The Return Of The King,59: The Last Debate,Eomer,NA,NA,NA,8,NA,NA
The Return Of The King,59: The Last Debate,Gandalf,NA,NA,NA,NA,NA,59
The Return Of The King,59: The Last Debate,Gimli,24,NA,NA,NA,NA,NA
The Return Of The King,59: The Last Debate,Legolas,NA,2,NA,NA,NA,NA
The Return Of The King,60: Aragorn Masters The Palantir,Aragorn,NA,NA,NA,17,NA,NA
The Return Of The King,61: The Captain And The White Lady,Eowyn,NA,NA,NA,17,NA,NA
The Return Of The King,61: The Captain And The White Lady,Faramir,NA,NA,NA,17,NA,NA
The Return Of The King,62: In The Company Of Orcs,Frodo,NA,NA,16,NA,NA,NA
The Return Of The King,62: In The Company Of Orcs,Orc,NA,NA,NA,NA,104,NA
The Return Of The King,62: In The Company Of Orcs,Sam,NA,NA,46,NA,NA,NA
The Return Of The King,63: The Land Of Shadow,Frodo,NA,NA,30,NA,NA,NA
The Return Of The King,63: The Land Of Shadow,Sam,NA,NA,56,NA,NA,NA
The Return Of The King,64: The Mouth Of Sauron,Aragorn,NA,NA,NA,23,NA,NA
The Return Of The King,64: The Mouth Of Sauron,Gandalf,NA,NA,NA,NA,NA,32
The Return Of The King,64: The Mouth Of Sauron,Gimli,5,NA,NA,NA,NA,NA
The Return Of The King,64: The Mouth Of Sauron,Merry,NA,NA,1,NA,NA,NA
The Return Of The King,64: The Mouth Of Sauron,Mouth Of Sauron,NA,NA,NA,NA,87,NA
The Return Of The King,64: The Mouth Of Sauron,Pippin,NA,NA,5,NA,NA,NA
The Return Of The King,65: The Black Gate Opens,Aragorn,NA,NA,NA,103,NA,NA
The Return Of The King,65: The Black Gate Opens,Gimli,16,NA,NA,NA,NA,NA
The Return Of The King,65: The Black Gate Opens,Legolas,NA,8,NA,NA,NA,NA
The Return Of The King,65: The Black Gate Opens,Sam,NA,NA,16,NA,NA,NA
The Return Of The King,66: I Can't Carry It For You… But I Can Carry You,Frodo,NA,NA,44,NA,NA,NA
The Return Of The King,66: I Can't Carry It For You… But I Can Carry You,Sam,NA,NA,85,NA,NA,NA
The Return Of The King,67: The Last Move,Aragorn,NA,NA,NA,2,NA,NA
The Return Of The King,67: The Last Move,Voice Of Sauron,NA,NA,NA,NA,NA,2
The Return Of The King,68: Mount Doom,Frodo,NA,NA,9,NA,NA,NA
The Return Of The King,68: Mount Doom,Sam,NA,NA,10,NA,NA,NA
The Return Of The King,69: The Eagles Are Coming,Pippin,NA,NA,6,NA,NA,NA
The Return Of The King,70: The Crack Of Doom,Frodo,NA,NA,7,NA,NA,NA
The Return Of The King,70: The Crack Of Doom,Sam,NA,NA,38,NA,NA,NA
The Return Of The King,71: Sauron Defeated,Merry,NA,NA,2,NA,NA,NA
The Return Of The King,71: Sauron Defeated,Pippin,NA,NA,1,NA,NA,NA
The Return Of The King,72: The End Of All Things,Frodo,NA,NA,37,NA,NA,NA
The Return Of The King,72: The End Of All Things,Sam,NA,NA,31,NA,NA,NA
The Return Of The King,73: The Fellowship Reunited,Frodo,NA,NA,4,NA,NA,NA
The Return Of The King,73: The Fellowship Reunited,Gimli,1,NA,NA,NA,NA,NA
The Return Of The King,73: The Fellowship Reunited,Merry,NA,NA,1,NA,NA,NA
The Return Of The King,74: The Return Of The King,Aragorn,NA,NA,NA,45,NA,NA
The Return Of The King,74: The Return Of The King,Gandalf,NA,NA,NA,NA,NA,11
The Return Of The King,75: Homeward Bound,Frodo,NA,NA,98,NA,NA,NA
The Return Of The King,75: Homeward Bound,Hobbits,NA,NA,4,NA,NA,NA
The Return Of The King,75: Homeward Bound,Pippin,NA,NA,2,NA,NA,NA
The Return Of The King,75: Homeward Bound,Rosie,NA,NA,2,NA,NA,NA
The Return Of The King,75: Homeward Bound,Sam,NA,NA,27,NA,NA,NA
The Return Of The King,76: The Grey Havens,Bilbo,NA,NA,56,NA,NA,NA
The Return Of The King,76: The Grey Havens,Elrond,NA,6,NA,NA,NA,NA
The Return Of The King,76: The Grey Havens,Frodo,NA,NA,132,NA,NA,NA
The Return Of The King,76: The Grey Havens,Galadriel,NA,17,NA,NA,NA,NA
The Return Of The King,76: The Grey Havens,Gandalf,NA,NA,NA,NA,NA,42
The Return Of The King,76: The Grey Havens,Sam,NA,NA,14,NA,NA,NA
